country,2024_update
India,"1,43,55,53,434"
China,"1,42,54,77,060"
United States,"34,09,58,556"
Indonesia,"27,87,38,336"
Pakistan,"24,29,62,984"
Nigeria,"22,65,90,620"
Brazil,"21,70,72,217"
Bangladesh,"17,38,76,824"
Russia,"14,41,83,411"
Ethiopia,"12,81,96,851"
Mexico,"12,89,50,792"
Japan,"12,29,47,697"
Philippines,"11,82,66,848"
Egypt,"11,36,31,386"
Vietnam,"9,92,02,399"
Iran,"8,95,15,999"
Turkey,"8,60,52,072"
Germany,"8,32,74,957"
Thailand,"7,18,51,325"
Tanzania,"6,84,70,278"
United Kingdom,"6,78,55,018"
France,"6,48,23,373"
South Africa,"6,07,03,956"
Italy,"5,87,81,682"
Kenya,"5,56,73,923"
Myanmar,"5,47,84,828"
Colombia,"5,22,17,865"
South Korea,"5,17,64,446"
Uganda,"4,92,82,729"
Sudan,"4,87,63,170"
Spain,"4,74,97,355"
Iraq,"4,60,38,018"
Algeria,"4,59,66,983"
Argentina,"4,59,24,465"
Afghanistan,"4,28,31,852"
Poland,"4,05,57,477"
Canada,"3,89,52,661"
Morocco,"3,80,37,588"
Ukraine,"3,74,46,186"
Angola,"3,72,68,033"
Saudi Arabia,"3,72,26,613"
Uzbekistan,"3,54,38,479"
Yemen,"3,48,48,129"
Mozambique,"3,43,98,244"
Ghana,"3,44,62,756"
Peru,"3,45,26,061"
Malaysia,"3,45,01,022"
Nepal,"3,10,78,435"
Madagascar,"3,07,05,871"
Ivory Coast,"2,92,54,061"
Venezuela,"2,91,34,528"
Cameroon,"2,90,36,199"
Niger,"2,77,35,346"
Australia,"2,65,76,573"
North Korea,"2,62,07,110"
Syria,"2,38,20,445"
Mali,"2,36,66,548"
Taiwan,"2,39,38,223"
Burkina Faso,"2,35,58,456"
Sri Lanka,"2,19,23,787"
Malawi,"2,12,13,657"
Zambia,"2,08,63,397"
Kazakhstan,"1,97,18,746"
Chile,"1,96,45,349"
Romania,"1,97,23,918"
Chad,"1,85,74,351"
Somalia,"1,84,35,624"
Ecuador,"1,82,88,933"
Guatemala,"1,82,26,528"
Senegal,"1,80,01,231"
Netherlands,"1,76,47,143"
Cambodia,"1,70,39,408"
Zimbabwe,"1,68,50,947"
Guinea,"1,43,66,890"
Rwanda,"1,42,62,024"
Benin,"1,39,03,203"
Burundi,"1,34,22,283"
Bolivia,"1,24,81,899"
Tunisia,"1,25,15,226"
Haiti,"1,17,99,580"
Belgium,"1,17,02,284"
Dominican Republic,"1,13,86,041"
Jordan,"1,13,59,441"
South Sudan,"1,11,85,660"
Cuba,"1,11,85,079"
Honduras,"1,06,81,464"
Sweden,"1,06,45,190"
Papua New Guinea,"1,04,27,354"
Czech Republic,"1,05,00,736"
Azerbaijan,"1,04,40,421"
Tajikistan,"1,02,43,079"
Greece,"1,03,20,707"
Portugal,"1,02,35,340"
Hungary,"1,00,62,443"
United Arab Emirates,"95,55,880"
Belarus,"94,76,021"
Israel,"92,47,200"
Togo,"91,61,938"
Sierra Leone,"88,89,538"
Austria,"89,68,146"
Switzerland,"88,25,950"
Laos,"76,88,717"
Hong Kong,"74,95,182"
Nicaragua,"70,97,562"
Serbia,"71,16,514"
Libya,"69,28,224"
Paraguay,"69,06,800"
Kyrgyzstan,"67,90,143"
Bulgaria,"66,44,096"
Turkmenistan,"65,60,599"
El Salvador,"63,81,300"
Singapore,"60,34,722"
Denmark,"59,26,205"
Central African Republic,"58,31,689"
Slovakia,"57,40,304"
Finland,"55,48,387"
Liberia,"54,79,991"
Norway,"54,94,991"
Palestine,"54,35,008"
New Zealand,"52,50,453"
Costa Rica,"52,30,226"
Lebanon,"52,78,999"
Ireland,"50,74,489"
Mauritania,"49,30,969"
Oman,"46,80,578"
Panama,"44,99,482"
Kuwait,"43,31,393"
Croatia,"39,97,119"
Eritrea,"37,84,676"
Georgia,"37,20,423"
Mongolia,"34,72,645"
Uruguay,"34,23,316"
Moldova,"33,71,834"
Puerto Rico,"32,65,804"
Gambia,"28,08,828"
Albania,"28,27,519"
Jamaica,"28,24,738"
Armenia,"27,77,979"
Qatar,"27,28,068"
Botswana,"26,98,710"
Lithuania,"27,04,789"
Namibia,"26,24,821"
Gabon,"24,62,074"
Lesotho,"23,44,092"
Guinea Bissau,"21,74,666"
Slovenia,"21,18,965"
North Macedonia,MKD
Latvia,"18,19,233"
Equatorial Guinea,"17,35,507"
Bahrain,"14,92,716"
Timor Leste,"13,70,890"
Estonia,"13,20,540"
Mauritius,"13,01,978"
Cyprus,"12,63,970"
Djibouti,"11,44,835"
Reunion,"9,86,352"
Fiji,"9,40,074"
Comoros,"8,60,111"
Guyana,"8,16,596"
Bhutan,"7,89,384"
Solomon Islands,"7,49,179"
Macau,"7,08,585"
Luxembourg,"6,58,596"
Suriname,"6,25,787"
Montenegro,"6,26,102"
Cape Verde,"6,01,463"
Western Sahara,"5,92,389"
Malta,"5,35,241"
Maldives,"5,19,386"
Brunei,"4,54,359"
Belize,"4,13,658"
Bahamas,"4,13,724"
Iceland,"3,76,190"
Martinique,"3,66,416"
Mayotte,"3,41,499"
Vanuatu,"3,39,327"
French Polynesia,"3,09,884"
New Caledonia,"2,94,467"
Barbados,"2,82,309"
Samoa,"2,27,467"
Curacao,"1,92,965"
Saint Lucia,"1,80,805"
Guam,"1,74,114"
Kiribati,"1,34,264"
Grenada,"1,26,887"
Micronesia,"1,16,300"
Tonga,"1,08,683"
Seychelles,"1,08,263"
Aruba,"1,06,177"
United States Virgin Islands,"98,055"
Andorra,"80,341"
Dominica,"73,368"
Cayman Islands,"69,885"
Bermuda,"63,935"
Greenland,"56,789"
Faroe Islands,"53,444"
Northern Mariana Islands,"50,025"
Sint Maarten,"44,309"
American Samoa,"43,544"
Marshall Islands,"42,415"
Liechtenstein,"39,822"
Monaco,"36,157"
San Marino,SMR
Gibraltar,GIB
Saint Martin,"32,337"
Palau,PLW
Cook Islands,"17,072"
Anguilla,"15,936"
Nauru,"12,884"
Tuvalu,"11,478"
Saint Barthelemy,BL
Montserrat,MSR
Falkland Islands,FLK
Niue,"1,935"
Tokelau,TKL
Vatican City,VAT
